epoch,train_total_loss,train_task_loss,train_reconstruction_loss,train_energy_loss,train_closure_penalty,train_accuracy,validation_loss,validation_accuracy,gradient_norm,weight_color,weight_sound,weight_vision
0,1.580777883529663,1.4039641618728638,0.03448719158768654,5.554807662963867,0.07738395035266876,0.25,1.3787016868591309,0.25,0.4117690324783325,0.3320024609565735,0.3337804973125458,0.33421701192855835
1,1.494565486907959,1.3781269788742065,0.023387817665934563,3.635053873062134,0.07700018584728241,0.25,1.3487052917480469,0.25,0.40639713406562805,0.3319753408432007,0.3338088095188141,0.33421579003334045
2,1.4136024713516235,1.3457086086273193,0.019049862399697304,2.059612512588501,0.06715553998947144,0.25,1.326849102973938,0.5,0.28646963834762573,0.33197009563446045,0.3338412046432495,0.33418866991996765
3,1.3583745956420898,1.325587511062622,0.016210749745368958,0.9145225286483765,0.06494148075580597,0.5,1.3004193305969238,0.5,0.25396308302879333,0.3319510817527771,0.33384084701538086,0.33420810103416443
4,1.3123393058776855,1.2975212335586548,0.01614423468708992,0.31758391857147217,0.06272481381893158,0.5,1.2551838159561157,0.75,0.28285232186317444,0.33190566301345825,0.3338572084903717,0.33423709869384766
5,1.2678250074386597,1.2484174966812134,0.016601337119936943,0.4691372215747833,0.059148918837308884,0.5,1.1997469663619995,0.5,0.3028867244720459,0.33183568716049194,0.33389589190483093,0.3342684805393219
6,1.2303739786148071,1.1987489461898804,0.0158074963837862,0.8802580237388611,0.06326892971992493,0.5,1.1357934474945068,0.5,0.38847607374191284,0.33174943923950195,0.3339518904685974,0.33429867029190063
7,1.1717274188995361,1.133638858795166,0.015202075242996216,1.0989176034927368,0.06602444499731064,0.5,1.0559494495391846,0.5,0.45908692479133606,0.3316458463668823,0.3340184688568115,0.33433568477630615
8,1.0900051593780518,1.0526750087738037,0.014643319882452488,1.0772289037704468,0.06762285530567169,0.5,0.9718886613845825,0.5,0.45175230503082275,0.3315272927284241,0.33407825231552124,0.3343944549560547
9,0.9957168698310852,0.9616417288780212,0.014039043337106705,0.9740409255027771,0.06720767915248871,0.5,0.8881677985191345,0.75,0.40468502044677734,0.3314005732536316,0.33413857221603394,0.3344608545303345
10,0.9137647151947021,0.881802499294281,0.013329469598829746,0.9090330600738525,0.0679437667131424,0.75,0.8170188665390015,0.75,0.37908437848091125,0.3312671482563019,0.3342038094997406,0.33452901244163513
11,0.8444934487342834,0.8110024929046631,0.014029867015779018,0.9530981779098511,0.06952719390392303,0.75,0.7552849054336548,0.75,0.3349504768848419,0.33113396167755127,0.3342720866203308,0.33459392189979553
